Resume_Profile,Resume_Skills,Job_Role,Job_Description,Target_Score,Reason
NLP student,"python, nlp, transformers, huggingface, pytorch",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",60,domain match but specialized mismatch
NLP student,"python, nlp, transformers, huggingface, pytorch",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",60,domain match but specialized mismatch
ML student,"python, machine learning, scikit-learn, pytorch",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,31,completely irrelevant background (Data to WebDev)
Data Analyst,"sql, excel, powerbi, tableau, python",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",40,lacks core machine learning modeling skills
Data Analyst,"sql, excel, powerbi, tableau, python",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,21,completely irrelevant background (Data to WebDev)
NLP student,"python, nlp, transformers, huggingface, pytorch",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",60,domain match but specialized mismatch
ML student,"python, machine learning, scikit-learn, pytorch",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",60,domain match but specialized mismatch
NLP student,"python, nlp, transformers, huggingface, pytorch",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,30,completely irrelevant background (Data to WebDev)
MERN dev,"javascript, react, node.js, express, mongodb",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",30,wrong domain (web dev applying for ML)
Data Analyst,"sql, excel, powerbi, tableau, python",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",40,lacks core machine learning modeling skills
Data Analyst,"sql, excel, powerbi, tableau, python",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",23,completely irrelevant background (Data to Infrastructure)
Data Analyst,"sql, excel, powerbi, tableau, python",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",40,lacks core machine learning modeling skills
MERN dev,"javascript, react, node.js, express, mongodb",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",30,wrong domain (web dev applying for ML)
Data Analyst,"sql, excel, powerbi, tableau, python",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,29,completely irrelevant background (Data to WebDev)
Recent Grad,"java, c++, python, algorithms",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",45,"general skills, lacks specific domain depth"
Data Analyst,"sql, excel, powerbi, tableau, python",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",85,analytics tools strongly match
NLP student,"python, nlp, transformers, huggingface, pytorch",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",31,completely irrelevant background (Data to Infrastructure)
Recent Grad,"java, c++, python, algorithms",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,45,"general skills, lacks specific domain depth"
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",22,completely irrelevant background (Infrastructure to Data)
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",31,completely irrelevant background (Infrastructure to Data)
NLP student,"python, nlp, transformers, huggingface, pytorch",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",60,domain match but specialized mismatch
Data Analyst,"sql, excel, powerbi, tableau, python",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",33,completely irrelevant background (Data to Infrastructure)
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",30,completely irrelevant background (Infrastructure to Data)
Recent Grad,"java, c++, python, algorithms",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",45,"general skills, lacks specific domain depth"
MERN dev,"javascript, react, node.js, express, mongodb",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",21,completely irrelevant background (WebDev to Infrastructure)
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",80,infrastructure tooling matches well
Recent Grad,"java, c++, python, algorithms",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,45,"general skills, lacks specific domain depth"
NLP student,"python, nlp, transformers, huggingface, pytorch",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",85,strong match with domain and tools
ML student,"python, machine learning, scikit-learn, pytorch",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",60,domain match but specialized mismatch
ML student,"python, machine learning, scikit-learn, pytorch",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,26,completely irrelevant background (Data to WebDev)
Data Analyst,"sql, excel, powerbi, tableau, python",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",35,completely irrelevant background (Data to Infrastructure)
MERN dev,"javascript, react, node.js, express, mongodb",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",35,completely irrelevant background (WebDev to Data)
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",33,completely irrelevant background (Infrastructure to Data)
ML student,"python, machine learning, scikit-learn, pytorch",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",75,has ML but lacks specific production tools
NLP student,"python, nlp, transformers, huggingface, pytorch",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",60,domain match but specialized mismatch
NLP student,"python, nlp, transformers, huggingface, pytorch",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",60,domain match but specialized mismatch
Data Analyst,"sql, excel, powerbi, tableau, python",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,21,completely irrelevant background (Data to WebDev)
MERN dev,"javascript, react, node.js, express, mongodb",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",26,completely irrelevant background (WebDev to Data)
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",24,completely irrelevant background (Infrastructure to Data)
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,26,completely irrelevant background (Infrastructure to WebDev)
ML student,"python, machine learning, scikit-learn, pytorch",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",60,domain match but specialized mismatch
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",23,completely irrelevant background (Infrastructure to Data)
Data Analyst,"sql, excel, powerbi, tableau, python",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,32,completely irrelevant background (Data to WebDev)
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",31,completely irrelevant background (Infrastructure to Data)
ML student,"python, machine learning, scikit-learn, pytorch",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",60,domain match but specialized mismatch
MERN dev,"javascript, react, node.js, express, mongodb",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",30,wrong domain (web dev applying for ML)
Recent Grad,"java, c++, python, algorithms",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,45,"general skills, lacks specific domain depth"
NLP student,"python, nlp, transformers, huggingface, pytorch",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",60,domain match but specialized mismatch
Recent Grad,"java, c++, python, algorithms",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",45,"general skills, lacks specific domain depth"
Recent Grad,"java, c++, python, algorithms",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",45,"general skills, lacks specific domain depth"
ML student,"python, machine learning, scikit-learn, pytorch",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",60,domain match but specialized mismatch
ML student,"python, machine learning, scikit-learn, pytorch",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,34,completely irrelevant background (Data to WebDev)
Recent Grad,"java, c++, python, algorithms",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",45,"general skills, lacks specific domain depth"
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",20,completely irrelevant background (Infrastructure to Data)
ML student,"python, machine learning, scikit-learn, pytorch",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",60,domain match but specialized mismatch
NLP student,"python, nlp, transformers, huggingface, pytorch",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",85,strong match with domain and tools
NLP student,"python, nlp, transformers, huggingface, pytorch",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",60,domain match but specialized mismatch
Data Analyst,"sql, excel, powerbi, tableau, python",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,29,completely irrelevant background (Data to WebDev)
MERN dev,"javascript, react, node.js, express, mongodb",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",26,completely irrelevant background (WebDev to Data)
Data Analyst,"sql, excel, powerbi, tableau, python",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,29,completely irrelevant background (Data to WebDev)
Data Analyst,"sql, excel, powerbi, tableau, python",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,31,completely irrelevant background (Data to WebDev)
MERN dev,"javascript, react, node.js, express, mongodb",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,90,perfect stack alignment
Recent Grad,"java, c++, python, algorithms",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",45,"general skills, lacks specific domain depth"
Data Analyst,"sql, excel, powerbi, tableau, python",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,32,completely irrelevant background (Data to WebDev)
NLP student,"python, nlp, transformers, huggingface, pytorch",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,34,completely irrelevant background (Data to WebDev)
MERN dev,"javascript, react, node.js, express, mongodb",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",30,completely irrelevant background (WebDev to Infrastructure)
MERN dev,"javascript, react, node.js, express, mongodb",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",30,wrong domain (web dev applying for ML)
Data Analyst,"sql, excel, powerbi, tableau, python",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",32,completely irrelevant background (Data to Infrastructure)
NLP student,"python, nlp, transformers, huggingface, pytorch",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",85,strong match with domain and tools
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",33,completely irrelevant background (Infrastructure to Data)
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",23,completely irrelevant background (Infrastructure to Data)
MERN dev,"javascript, react, node.js, express, mongodb",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",32,completely irrelevant background (WebDev to Data)
Recent Grad,"java, c++, python, algorithms",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",45,"general skills, lacks specific domain depth"
Recent Grad,"java, c++, python, algorithms",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",45,"general skills, lacks specific domain depth"
MERN dev,"javascript, react, node.js, express, mongodb",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",30,wrong domain (web dev applying for ML)
Recent Grad,"java, c++, python, algorithms",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",45,"general skills, lacks specific domain depth"
Data Analyst,"sql, excel, powerbi, tableau, python",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",85,analytics tools strongly match
ML student,"python, machine learning, scikit-learn, pytorch",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",60,domain match but specialized mismatch
Data Analyst,"sql, excel, powerbi, tableau, python",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",85,analytics tools strongly match
Data Analyst,"sql, excel, powerbi, tableau, python",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",85,analytics tools strongly match
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",80,infrastructure tooling matches well
Recent Grad,"java, c++, python, algorithms",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",45,"general skills, lacks specific domain depth"
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",80,infrastructure tooling matches well
NLP student,"python, nlp, transformers, huggingface, pytorch",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",60,domain match but specialized mismatch
Recent Grad,"java, c++, python, algorithms",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",45,"general skills, lacks specific domain depth"
NLP student,"python, nlp, transformers, huggingface, pytorch",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",85,strong match with domain and tools
MERN dev,"javascript, react, node.js, express, mongodb",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",30,wrong domain (web dev applying for ML)
Recent Grad,"java, c++, python, algorithms",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",45,"general skills, lacks specific domain depth"
MERN dev,"javascript, react, node.js, express, mongodb",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,90,perfect stack alignment
Data Analyst,"sql, excel, powerbi, tableau, python",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",60,domain match but specialized mismatch
NLP student,"python, nlp, transformers, huggingface, pytorch",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,32,completely irrelevant background (Data to WebDev)
Data Analyst,"sql, excel, powerbi, tableau, python",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",60,domain match but specialized mismatch
MERN dev,"javascript, react, node.js, express, mongodb",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",26,completely irrelevant background (WebDev to Data)
ML student,"python, machine learning, scikit-learn, pytorch",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",60,domain match but specialized mismatch
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,23,completely irrelevant background (Infrastructure to WebDev)
ML student,"python, machine learning, scikit-learn, pytorch",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",60,domain match but specialized mismatch
Recent Grad,"java, c++, python, algorithms",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,45,"general skills, lacks specific domain depth"
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",31,completely irrelevant background (Infrastructure to Data)
ML student,"python, machine learning, scikit-learn, pytorch",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",60,domain match but specialized mismatch
ML student,"python, machine learning, scikit-learn, pytorch",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,26,completely irrelevant background (Data to WebDev)
MERN dev,"javascript, react, node.js, express, mongodb",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",30,wrong domain (web dev applying for ML)
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",29,completely irrelevant background (Infrastructure to Data)
ML student,"python, machine learning, scikit-learn, pytorch",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",32,completely irrelevant background (Data to Infrastructure)
Data Analyst,"sql, excel, powerbi, tableau, python",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,28,completely irrelevant background (Data to WebDev)
Data Analyst,"sql, excel, powerbi, tableau, python",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",60,domain match but specialized mismatch
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",21,completely irrelevant background (Infrastructure to Data)
Recent Grad,"java, c++, python, algorithms",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",45,"general skills, lacks specific domain depth"
MERN dev,"javascript, react, node.js, express, mongodb",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",35,completely irrelevant background (WebDev to Infrastructure)
ML student,"python, machine learning, scikit-learn, pytorch",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",60,domain match but specialized mismatch
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,27,completely irrelevant background (Infrastructure to WebDev)
Recent Grad,"java, c++, python, algorithms",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,45,"general skills, lacks specific domain depth"
Recent Grad,"java, c++, python, algorithms",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",45,"general skills, lacks specific domain depth"
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,27,completely irrelevant background (Infrastructure to WebDev)
Data Analyst,"sql, excel, powerbi, tableau, python",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",35,completely irrelevant background (Data to Infrastructure)
Data Analyst,"sql, excel, powerbi, tableau, python",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",40,lacks core machine learning modeling skills
Recent Grad,"java, c++, python, algorithms",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,45,"general skills, lacks specific domain depth"
Data Analyst,"sql, excel, powerbi, tableau, python",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",23,completely irrelevant background (Data to Infrastructure)
Recent Grad,"java, c++, python, algorithms",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",45,"general skills, lacks specific domain depth"
NLP student,"python, nlp, transformers, huggingface, pytorch",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",26,completely irrelevant background (Data to Infrastructure)
Recent Grad,"java, c++, python, algorithms",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,45,"general skills, lacks specific domain depth"
Data Analyst,"sql, excel, powerbi, tableau, python",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",40,lacks core machine learning modeling skills
Data Analyst,"sql, excel, powerbi, tableau, python",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",60,domain match but specialized mismatch
Data Analyst,"sql, excel, powerbi, tableau, python",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",40,lacks core machine learning modeling skills
MERN dev,"javascript, react, node.js, express, mongodb",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",29,completely irrelevant background (WebDev to Data)
Recent Grad,"java, c++, python, algorithms",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",45,"general skills, lacks specific domain depth"
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,33,completely irrelevant background (Infrastructure to WebDev)
NLP student,"python, nlp, transformers, huggingface, pytorch",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",60,domain match but specialized mismatch
MERN dev,"javascript, react, node.js, express, mongodb",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,90,perfect stack alignment
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",24,completely irrelevant background (Infrastructure to Data)
Recent Grad,"java, c++, python, algorithms",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",45,"general skills, lacks specific domain depth"
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,22,completely irrelevant background (Infrastructure to WebDev)
ML student,"python, machine learning, scikit-learn, pytorch",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",30,completely irrelevant background (Data to Infrastructure)
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",30,completely irrelevant background (Infrastructure to Data)
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",31,completely irrelevant background (Infrastructure to Data)
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",24,completely irrelevant background (Infrastructure to Data)
NLP student,"python, nlp, transformers, huggingface, pytorch",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",60,domain match but specialized mismatch
Data Analyst,"sql, excel, powerbi, tableau, python",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",30,completely irrelevant background (Data to Infrastructure)
ML student,"python, machine learning, scikit-learn, pytorch",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",22,completely irrelevant background (Data to Infrastructure)
ML student,"python, machine learning, scikit-learn, pytorch",Business Analyst,"Identify business trends using SQL, Excel, and Tableau.",60,domain match but specialized mismatch
Recent Grad,"java, c++, python, algorithms",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",45,"general skills, lacks specific domain depth"
MERN dev,"javascript, react, node.js, express, mongodb",Data Scientist,"Looking for a Data Scientist to build predictive models. Requires Python, Machine Learning, and SQL.",30,wrong domain (web dev applying for ML)
ML student,"python, machine learning, scikit-learn, pytorch",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",35,completely irrelevant background (Data to Infrastructure)
MERN dev,"javascript, react, node.js, express, mongodb",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",21,completely irrelevant background (WebDev to Data)
Recent Grad,"java, c++, python, algorithms",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",45,"general skills, lacks specific domain depth"
MERN dev,"javascript, react, node.js, express, mongodb",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",20,completely irrelevant background (WebDev to Infrastructure)
NLP student,"python, nlp, transformers, huggingface, pytorch",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,32,completely irrelevant background (Data to WebDev)
Recent Grad,"java, c++, python, algorithms",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",45,"general skills, lacks specific domain depth"
NLP student,"python, nlp, transformers, huggingface, pytorch",NLP Engineer,"We need an NLP Engineer to work with LLMs and Transformers. Required: Python, PyTorch, HuggingFace.",85,strong match with domain and tools
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Fullstack Web Developer,Seeking a developer skilled in React and Node.js for our web applications.,28,completely irrelevant background (Infrastructure to WebDev)
DevOps Engineer,"aws, docker, kubernetes, terraform, linux",Cloud Architect,"Looking for DevOps/Cloud experience with AWS, Kubernetes, and CI/CD.",80,infrastructure tooling matches well
